ServiceName,Address,County,x,y
Dunmanway Community Hospital,"Dunmanway Community Hospital, Dunmanway, Co. Cork, Cork",Cork,123117.3718,52746.37597
"Earlsbrook House Nursing Home, ","41 Meath Road, Bray, Co. Wicklow, A98dh95",Wicklow,327030.8266,218274.5689
East Ferry House Nursing Home,"East Ferry House Nursing Home, East Ferry, Midleton, Co. Cork, Cork",Cork,185694.3771,67387.58298
Eliza Lodge Nursing Home,"Eliza Lodge Nursing Home, Boheradurrow, Five Roads, Banagher, Co. Offaly Offaly",Offaly,200894.9375,215455.5534
Elm Green Nursing Home,"Elm Green Nursing Home, New Dunsink Lane, Castleknock, Dublin 15, Dublin 15",Dublin,309715.8656,238702.5787
"Elm Grove Nursing Home, ","Elm Grove, Syngefield, Birr, Co. Offaly, R42py13",Offaly,206720.6565,204958.4689
Elm Hall Nursing Home,"Elmhall, Celbridge, Co. Kildare, W23p6ex",Kildare,298843.4696,232812.1559
Elmhurst Nursing Home,"Elmhurst Nursing Home, Hampstead Avenue, Glasnevin, Dublin 9, Dublin 9",Dublin,315685.9824,238223.0631
Ennis Nursing Home,"Ennis Nursing Home, Showgrounds Road, Drumbiggle, Ennis, Co. Clare Clare",Clare,132918.5409,176652.4089
Ennistymon Community Hospital,"Ennistymon Community Hospital, Dough, Ennistymon, Co. Clare, Clare",Clare,113460.0251,187900.3879
Esker Lodge Nursing Home,"Esker Lodge Nursing Home, Esker Place, Cathedral Road, Cavan, Cavan",Cavan,241834.1851,304557.4537
Esker Ri,"Esker Ri Nursing Home, Tullamore Road, Clara, Offaly",Offaly,233049.4616,225980.0267
Eyrefield Manor Nursing Home,"Church Lane, Greystones, Co. Wicklow, A63kn63",Wicklow,329098.9066,212442.2659
Fairfield Nursing Home,"Fairfield Nursing Home, Quarry Road, Drimoleague, Co. Cork, Cork",Cork,112874.4279,46142.65662
Fairlawns Nursing Home,"Fairlawns Private Nursing Home, Cavan Road, Baileboro, Co. Cavan, Cavan",Cavan,241834.1851,304557.4537
Fairview Community Unit,"Fairview Community Unit, Griffith Court, Fairview, Dublin 3, Dublin 3",Dublin,317073.132,236725.674
Falcarragh Communty Hospital,"Otharlann Phobail an FhÃ¡lcarraigh, Aonad Altranais an FhÃ¡lcarraigh, Baile Chonaill, An FÃ¡lcarrach, Co DhÃºn na nGall",Donegal,193470.2955,432165.1634
Farranlea House Community Nursing Unit,"Farranlea House CNU, Farranlea Road, Wilton, Cork, Cork",Cork,164537.5819,71156.63348
Fearna Manor Nursing Home,"Fearna Manor Nursing Home, Tarmon Road, Castlerea, Co. Roscommon, Roscommon",Roscommon,168100.8742,280311.3972
Fearna Nursing Home,"Fearna Nursing Home, Bishop Street, Elphin, Co. Roscommon, Roscommon",Roscommon,187417.2815,288877.401
Fermoy Community Hospital,"Fermoy Community Hospital, Tallow Road, Fermoy, Co. Cork, Cork",Cork,182473.9925,98614.01355
Ferndene Nursing Home Blackrock,"Ferndene Nursing Home Blackrock, Deansgrange Road, Blackrock, Co. Dublin",Dublin,322440.59,227064.359
Fingal House Nursing Home,"Seatown West, Swords, Co. Dublin, K67ve44",Dublin,318471.8526,247479.946
First Care Blainroe Lodge,"Blainroe Lodge, Blainroe, Wicklow, A67vk52",Wicklow,332972.4066,190110.5779
Flannery's Nursing Home,"Flannery's Nursing Home, Chapel Road, Abbeyknockmoy, Tuam, Co. Galway Galway",Galway,151778.3254,243495.7903
Fold Ireland Anam Cara Housing with Care,"Fold Ireland Anam Cara Housing with Care, St Canice's Road, Glasnevin, Dublin 11, Co. Dublin",Dublin,314846.875,238249.016
Friars Lodge Nursing Home,"Friars Lodge Nursing Home, Convent Road, Ballinrobe, Co. Mayo, Mayo",Mayo,120036.6661,264498.6274
Gahan House,"Gahan House, Graiguenamanagh, Co. Kilkenny, Kilkenny",Kilkenny,270855.4092,143858.1274
Gallen Priory Nursing Home,"Gallen Priory Nursing home, Main Street, Ferbane, Co. Offaly, Offaly",Offaly,211519.9902,224840.2236
Garbally View Nursing Home,"Garbally View Nursing Home, Brackernagh, Ballinasloe, Co. Galway, Galway",Galway,184028.6195,230238.6989
Gascoigne House Nursing Home,"Gasgoigne House, 37-39 Cowper Road, Dublin 6, D06hw18",Dublin,316134.5316,231051.1879
Glanmire Residential Care Ltd.,"Glanmire Residential Care Ltd., Glyntown, Glanmire, Co. Cork, Cork",Cork,173337.1979,74700.20666
Glebe Nursing Home,"Glebe Road, Enniskerry Road, Dublin 18, D18y201",Dublin,320051.8136,222756.5779
Glenashling Nursing Home,"Oldtown Road, Celbridge, Co. Kildare, W23x279",Kildare,296117.0876,233506.9799
Glenaulin Nursing Home,"Glenaulin, Dublin 20, D20yt66",Dublin,309480.0216,234903.5249
