ServiceName,Address,County,x,y
Mullinahinch House Private Nursing Home,"Mullinahinch House Private Nursing Home, Mullinahinch, Co. Monaghan, Monaghan",Monaghan,267070.5924,333647.2629
Mullross Nursing Home,"Mullross Nursing Home - Partnership, Kilclare, Carrick on 'Shannon, Leitrim",Leitrim,198943.109,306546.219
Mystical Rose Private Nursing Home,"Mystical Rose Nursing Home, Knockdoemor, Claregalway, Co. Galway, Galway",Galway,138650.8718,235993.5078
Nazareth House,"Fahan, Lifford, Co. Donegal",Donegal,233888.4324,426868.6664
Nazareth House,"Nazareth House, Malahide Road, Dublin 3, Dublin 3",Dublin,318193.6441,237201.6774
Nazareth House,"Nazareth House, Dromahane, Mallow, Co Cork, Cork",Cork,155589.3493,98620.1154
Nazareth Nursing Home,"Nazareth Nursing Home, Church Hill, Sligo, Sligo",Sligo,159573.9555,314108.062
Nenagh Manor Nursing Home,"Nenagh Manor Nursing Home, Yewston, Nenagh, Co. Tipperary, Tipperary",Tipperary,186118.546,178880.9793
New Houghton Hospital,"New Haughton Hospital, Hospital Road, New Ross, Co. Wexford, Wexford",Wexford,272276.552,126928.2241
New Lodge Nursing Home,"New Lodge Nursing Home, C/o Bloomfield Care Centre, Stocking Lane, Rathfarnham, Dublin 16 Dublin 16",Dublin,313128.9459,226205.3274
Newbrook Lodge Nursing Home,"Newbrook Lodge Nursing Home, Ballymahon Road, Mullingar, Co. Westmeath, Westmeath",Westmeath,241626.2258,252004.641
Newbrook Nursing Home,"Newbrook Nursing Home, Ballymahon Road, Mullingar, Co. Westmeath, Westmeath",Westmeath,241506.1365,251943.5925
Newpark Care Centre,"Newpark, The Ward, Co. Dublin, D11rw27",Dublin,310846.8136,245628.719
Newtownpark House,"Newtownpark House, Newtownpark Avenue, Blackrock, Co. Dublin, Co. Dublin",Dublin,321713.3353,227811.987
Nightingale Nursing Home,"Nightingale Nursing Home, Lowville, Ahascragh, Ballinasloe, Co. Galway Galway",Galway,177690.6427,237866.1758
Northbrook Nursing Home,"Northbrook House, 26 Northbrook Road, Ranelagh, Dublin 6, Dublin 6",Dublin,316323.5029,232481.0682
Norwood Grange,"Norwood Grange, Ballinora, Waterfall, Cork, Cork",Cork,160012.4612,68024.85275
O'Gorman Home,"O'Gorman Home, Castle Street, Ballyragget, Co. Kilkenny, Kilkenny",Kilkenny,244855.1668,170768.4916
Oak View Nursing Home,"Oak View Nursing Home, The Commons, Belturbet, Co. Cavan, Cavan",Cavan,238301.475,313315.779
Oakdale Nursing Home,"Oakdale Nursing Home, Kilmalogue, Gracefield, Portarlington, Co. Offaly Offaly",Offaly,251739.3656,213353.8261
Oakfield Nursing Home,"Oakfield Nursing Home, Courtown, Gorey, Co. Wexford, Wexford",Wexford,319773.0709,156193.7578
Oaklands Nursing home,"Oaklands Nursing Home, Derry, Listowel, Co. Kerry, Kerry",Kerry,103591.89,137650.0852
Oaklodge Nursing Home,"Oaklodge Nursing Home, Churchtown South, Cloyne, Co. Cork, Cork",Cork,194310.0971,63894.28182
Oakwood Nursing Home,"Oakwood Private Nursing Home, Circular Road, Ballaghaderreen, Co. Roscommon, Roscommon",Roscommon,162049.9523,294725.3864
Oakwood Nursing Home,"Oakwood Private Nursing Home, Hawthorne Drive, Roscommon Town, Co. Roscommon, Roscommon",Roscommon,188924.2069,264423.1325
Ocean View Retirement and Nursing Home,"Ocean View Retirement and Nursing Home, Knockglassmore, Camp, Tralee, Co. Kerry Kerry",Kerry,70591.84026,109800.7471
Oghill Nursing Home,"Oghill Nursing Home, Oghill, Monasterevin, Co. Kildare, Kildare",Kildare,266892.2628,208969.565
Oranmore Nursing Home,"Oranmore Nursing Home, Bushfield, Oranmore, Galway, Galway",Galway,140992.5337,225209.6778
Oriel House,"Oriel House, St. Davnet's Complex, Rooskey, Monaghan, Monaghan",Monaghan,266843.6929,333788.45
Orwell House Nursing Home,"Orwell House Nursing Home, 112 Orwell Road, Rathgar, Dublin 6, Dublin 6",Dublin,315661.0769,229726.9459
Ospideal Pobail Chorca Dhuibhne (West Kerry Community Hospital),"BÃ³thar an Phoist, Daingean UÃ­ ChÃºis, Co. ChiarraÃ­",Kerry,44802.64137,101166.1861
Otharlann Pobail an ChlochÃ¡in Leith,"BÃ³thar Ghaoth Dobhair, An ClochÃ¡n Liath, Co. DÃºn na nGall.",Donegal,176902.259,411402.2581
Oughterard Manor,"Oughterard Manor, Oughterard, Co Galway, Galway",Galway,112259.036,243046.938
Our Lady of Consolation Nursing Home,"Our Lady of Consolation Nursing Home, Arden Road, Tullamore, Co. Offaly, Offaly",Offaly,233873.874,225170.4215
Our Lady of Fatima Home,"Our Lady of Fatima Home, Oakpark Road, Tralee, Co. Kerry, Kerry",Kerry,85047.55318,115779.8671
Our Lady of Lourdes Care Facility,"Our Lady of Lourdes Care Facility, Kilcummin Village, Killarney, Co. Kerry, Kerry",Kerry,99812.85717,89657.67366
Our Lady's Hospice and Care Services,"Our Lady's Hospice and Care Services, Harold's Cross, Dublin 6W, Dublin 6w",Dublin,314560.5691,232050.1806
Our Lady's Manor Nursing Home,"Our Lady's Manor Nursing Home, Dublin Road, Edgeworthstown, Longford, Longford",Longford,225970.5601,271284.0962
Padre Pio House Nursing Home,"Padre Pio House Nursing Home, Churchtown, Mallow, Co. Cork, Cork",Cork,150197.0455,113575.9128
Padre Pio Nursing Home,"Padre Pio Nursing Home, Holycross, Thurles, Co. Tipperary, Tipperary",Tipperary,209503.68,154142.4243
Padre Pio Nursing Home,"Padre Pio Nursing Home, Sunnyside, Upper Rochestown, Cork, Cork",Cork,174579.2841,68437.03025
Padre Pio Nursing Home,"Padre Pio Nursing Home, 50 / 51A Cappaghmore, Clondalkin, Dublin 22, Dublin 22",Dublin,306251.7967,232159.8464
Padre Pio Rest Home,"Padre Pio Rest Home, Cappoquin, Co. Waterford, Waterford",Waterford,210228.5671,99470.32677
Parke House Nursing Home,"Parke House Nursing Home, Kilcock, Co. Kildare, Kildare",Kildare,286421.3597,240632.3172
Patterson's Nursing Home,"Patterson's Nursing Home, Lismackin, Roscrea, Co. Tipperary, Tipperary",Tipperary,213570.2025,183238.7317
Peamount Hospital,"Peamount Hospital, Newcastle, Co. Dublin, Co. Dublin",Dublin,301716.3965,230793.7619
Phoenix Park Community Nursing Units,"Phoenix Park Community Nursing Units, St. Mary's Hospital, Phoenix Park, Dublin 20, Dublin 20",Dublin,310798.9058,234636.901
Pilgrims Rest Nursing Home,"Pilgrim's Rest Nursing Home, Barley Hill, Westport, Co. Mayo, Mayo",Mayo,98074.11314,286555.6838
Plunkett Community Nursing Unit,"Plunkett Community Nursing Unit, Elphin Street, Boyle, Co. Roscommon, Roscommon",Roscommon,180156.8728,302209.2516
Portiuncula Nursing Home,"Portiuncula Nursing Home, Multyfarnham, Mullingar, Co. Westmeath, Westmeath",Westmeath,240260.198,264450.5082
Portumna Retirement Village,"Portumna Retirement Village, St. Brendan's Road, Portumna, Co. Galway, Galway",Galway,184883.9876,204977.9251
Powdermill Nursing Home,"Powdermill Nursing Home, Gunpowder Mill, Ballincollig, Co. Cork, Cork",Cork,159302.9301,71296.59192
Queen of Peace Centre,"Queen of Peace Centre, Garville Avenue, Rathgar, Dublin 6, Dublin 6",Dublin,316200.6766,232647.183
Queen of Peace Nursing Home,"Queen of Peace Nursing Home, Churchfield, Knock, Co. Mayo, Mayo",Mayo,139130.5018,282433.0254
Raheen Community Hospital,"Raheen Community Hospital, Tuamgraney, Scariff, Ennis, Co. Clare Clare",Clare,165902.9712,182661.2637
Raheny Community Nursing Unit,"Raheny Community Nursing Unit, Harmonstown Road, Raheny, Dublin 5, Dublin 5",Dublin,320788.7665,238545.3532
Raheny House Nursing Home,"Raheny House Nursing Home, Raheny House, 476 Howth Road, Raheny, Dublin 5 Dublin 5",Dublin,321093.8923,238062.9026
Ramelton Community Hospital,"Ramelton Community Hospital, Ramelton, Letterkenny, Co. Donegal, Donegal",Donegal,222827.5196,421287.5879
Rathkeevan Nursing Home,"Rathkeevan Nursing Home, Rathkeevan, Clonmel, Co. Tipperary, Tipperary",Tipperary,214971.8034,124542.1847
Ratoath Manor Nursing Home,"Ratoath Manor Nursing Home, Ratoath, Co. Meath, Meath",Meath,302189.5655,251805.427
Regina House Community Nursing Unit,"Regina House Community Nursing Unit, Kilrush, Co. Clare, Clare",Clare,99535.63746,155664.2672
Residential Care Home Unit 5 & Unit 6 (Merlin Park Hospital),"Residential Care Home Unit 5 & Unit 6 (Merlin Park Hospital), Dublin Road, Galway, Galway",Galway,133723.0511,225612.9357
Retreat Nursing Home,"Retreat Nursing Home, Loughandonning, Bonnavalley, Athlone, Westmeath Westmeath",Westmeath,205584.5416,241122.5225
Riada House Community Nursing Unit,"Riada House Community Nursing Unit, Arden Road, Tullamore, Co. Offaly, Offaly",Offaly,233873.874,225170.4215
Riverdale House,"Riverdale House, Blackwater, Ardnacrusha, Co. Clare, Clare",Limerick,157200.8556,156822.927
Riverdale Nursing Home,"Riverdale Nursing Home, Laragh, Ballon, Co. Carlow, Carlow",Carlow,282747.8706,164442.9124
Riverside Nursing Home,"Riverside Nursing Home, Toberburr Road, St. Margarets, Co. Dublin, Co. Dublin",Dublin,312918.8948,243705.2844
Riverside Nursing Home,"Riverside Care Centre, Milltown, Abbeydorney, Tralee, Co. Kerry Kerry",Kerry,84350.84285,122645.6487
Rivervale Nursing Home,"Rivervale Nursing Home, Old Birr Road, Nenagh, Co. Tipperary, Tipperary",Tipperary,187267.6919,179983.8884
Rochestown Nursing Home,"Rochestown Nursing Home, Monastery Road, Rochestown, Co. Cork, Cork",Cork,174527.456,68417.02428
Rockshire Care Centre,"Rockshire Care Centre, Rockshire Road, Ferrybank, Co. Waterford, Waterford",Kilkenny,260601.1625,113576.6659
Ros Aoibhinn,"Ros Aoibhinn Nursing Home, Irish Street, Bunclody, Co. Wexford, Wexford",Wexford,291227.3246,156704.9753
Rosary Hill House Nursing Home,"Rosary Hill House Nursing Home, Stradbally, Castleconnell, Co. Limerick, Limerick",Limerick,157200.8556,156822.927
Rosedale Residential Home,"Rosedale Residential Home, Upper Kilmacow, Co. Kilkenny, Kilkenny",Kilkenny,255298.2805,117536.7427
Roselodge Nursing Home,"Roselodge Nursing Home, Killucan, Co. Westmeath, Westmeath",Westmeath,256812.9931,251692.7527
Rosemount House Nursing Home,"Rosemount Nursing Home, Garrabeg Road, Church Street, Gort, Co. Galway Galway",Galway,144820.0248,202033.7725
Rosenalee Care Centre Ltd.,"Rosenalee Care Centre, Poulavone, Ballincollig, Co. Cork, Cork",Cork,160224.6728,70925.99494
Roseville House Nursing Home,"Roseville House Nursing Home, Killonan, Ballysimon, Limerick, Limerick",Limerick,157200.8556,156822.927
Roseville Nursing Home,"Roseville Nursing Home, 49 Meath Road, Bray, Co. Wicklow, Wicklow",Wicklow,327038.3857,218202.9739
Royal Hospital Donnybrook,"Royal Hospital Donnybrook, Morehampton Road, Donnybrook, Dublin 4, Dublin 4",Dublin,317166.6928,232042.2817
Rush Nursing Home,"Rush Nursing Home, Kenure, Skerries Road, Rush, Co.Dublin Co. Dublin",Dublin,326293.8863,255016.0523
Rushmore Nursing Home,"Rushmore Nursing Home, Knocknacarra, Galway, Galway",Galway,126095.5838,223944.6439
Ryevale Nursing Home,"Ryevale Nursing Home, Ryevale Mill, Leixlip, Co. Kildare, Kildare",Kildare,299847.2559,236384.0182
Sacred Heart Hospital,"Sacred Heart Hospital, Old Dublin Road, Carlow, Carlow",Carlow,272192.1955,177061.1922
Sacred Heart Hospital,"Sacred Heart Hospital, Pontoon Road, Castlebar, Co. Mayo, Mayo",Mayo,117778.8296,295284.9518
Sacred Heart Hospital Roscommon,"Sacred Heart Hospital, Golf Link Road, Roscommon, Roscommon",Roscommon,187714.5275,263212.3091
Sacred Heart Nursing Home,"Sacred Heart Nursing Home, Crosspatrick, Johnstown, Co. Kilkenny, Kilkenny",Kilkenny,226843.5538,169078.8243
Sacred Heart Residence,"Sacred Heart Residence, Sybil Hill Road, Raheny, Dublin 5, Dublin 5",Dublin,320179.8085,237322.8341
Sacred Hearts Nursing Home,"Sacred Hearts Nursing Home, Roslea Road, Clones, Co. Monaghan, Monaghan",Monaghan,267070.5924,333647.2629
SacrÃ© Coeur Nursing Home,"SacrÃ© Coeur Nursing Home, Station Road, Tipperary Town, Tipperary Town, Tipperary",Tipperary,189138.5712,135247.4283
Sally Park Nursing Home,"Sally Park Nursing Home, Sally Park Close, Firhouse, Dublin 24, Dublin 24",Dublin,311231.4301,227380.4064
San Remo Nursing Home,"San Remo Nursing Home, 14/ 15 Sidmonton Road, Bray, Wicklow, Wicklow",Wicklow,326880.1921,218210.7966
Sancta Maria,"Sancta Maria, Gallow's Hill, Cratloe, Co. Clare, Clare",Clare,148219.6017,161556.8515
Sancta Maria Nursing Home,"Sancta Maria Nursing Home, Parke, Kinnegad, Co. Meath, Meath",Meath,261511.7922,241931.191
Santa Sabina House,"Santa Sabina House, Dominican Sisters, Navan Road, Cabra, Dublin 7 Dublin 7",Dublin,312184.6733,236728.1414
Seanchara Community Unit,"Seanchara Community Unit, St. Canice's Road, Glasnevin, Dublin 11, Dublin 11",Dublin,315003.3977,238451.5636
Shalom Nursing Home,"Shalom Nursing Home, Presentation Convent, Kilcock, Co. Klidare, Kildare",Kildare,288494.7665,239872.4189
Shannagh Bay Nursing Home,"Shannagh Bay Nursing Home, Strand Road, Bray, Co. Wicklow, Wicklow",Wicklow,327123.7686,218439.0615
Shannon Lodge Nursing Home,"Shannon Lodge Nursing Home, Rooskey, Co. Roscommon, Roscommon",Roscommon,197129.5925,242779.1315
Sheelin Nursing Home,"Sheelin Nursing Home, Tonagh, Mountnugent, Co. Cavan, Cavan",Cavan,241834.6492,304556.9014
Shrewsbury House Nursing Home,"Shrewsbury House Nursing Home, 164 Clonliffe Road, Drumcondra, Dublin 3, Dublin 3",Dublin,316386.2356,236125.1781
Silvergrove Nursing Home,"Silvergrove Nursing Home, Main Street, Clonee, Co. Meath, Meath",Meath,303077.3381,241738.5769
Simpsons Hospital,"Simpson's Hospital, Ballinteer Road, Dundrum, Dublin 16, Dublin 16",Dublin,316904.7047,227564.8737
Skibbereen Community Hospital,"Skibbereen Community Hospital, Coolnagarrane, Skibbereen, Co. Cork, Cork",Cork,112412.1825,35098.87684
Skibbereen Residential Care Centre,"Skibbereen Residential Care Centre, Baltimore Road, Skibbereen, Co. Cork, Cork",Cork,112005.9394,32956.0694
Sligo Nursing Home,"Mowlam Nursing Home, Ballytivnan, Sligo, Sligo",Sligo,169456.99,337237.257
Sonas Care Centre,"Sonas Care Centre, Cloverhill, Roscommon, Roscommon",Roscommon,161435.9668,295518.3129
Sonas Care Centre Ard na Greine,"Sonas Care Centre Ard na Greine, Enniscrone, Co. Sligo, Sligo",Sligo,128443.8823,329564.3898
"Sonas Care Centre, Cloghanboy","Sonas Care Centre, Cloghanboy, Ballymahon Road, Athlone, Westmeath Westmeath",Westmeath,205346.4603,242266.2523
St Anne's Private Nursing Home,"St. Anne's Nursing Home, Sonnagh, Charlestown, Co. Mayo, Mayo",Mayo,145593.7388,301076.0211
St Brigid's Inchicore,"St Brigid's Inchicore, Rear of Bulfin Court, Inchicore, Dublin 8",Dublin,312198.344,233402.094
St Camillus Nursing Centre,"St Camillus Nursing Centre, Killucan, Westmeath, Westmeath",Westmeath,256952.5338,251927.3797
St Columban's Retirement Home,"St. Columban's Retirement Home, Dalgan Park, Navan, Co. Meath, Meath",Meath,290829.3872,263165.5579
St Eithne's Rest Care Centre,"St. Eithne's Rest Care Centre, Corbally, Tulsk, Castlerea, Roscommon Roscommon",Roscommon,184059.083,280695.5777
St. Anne's Community Nursing Home,"St. Anne's Community Nursing Home, Westport Road, Clifden, Co. Galway, Galway",Galway,65628.63054,251117.3017
St. Anthony's Nursing Home,"St. Anthony's Nursing Home, Kilduff Castle, Pallasgreen, Co. Limerick, Limerick",Limerick,177601.0896,145971.8969
St. Anthonyâs Nursing Home,"St. Anthonyâs Nursing Home, Church Street, Balbriggan, Co. Dublin",Dublin,320425.4481,263622.4496
St. Attracta's Nursing Home,"St. Attracta's Nursing Home, Hagfield, Charlestown, Co. Mayo, Mayo",Mayo,147844.4147,298789.86
St. Augustine's Community Nursing Unit,"St. Augustine's Community Nursing Unit, Cathedral Road, Ballina, Co. Mayo, Mayo",Mayo,124797.2972,318861.8216
St. Brendan's High Support Unit,"St. Brendan's High Support Unit, Mulranny, Westport, Mayo, Mayo",Mayo,83751.58877,296809.1215
St. Brendan's Home,"St. Brendan's Home, Lake Road, Loughrea, Co. Galway, Galway",Galway,162296.5505,215624.8248
St. Brigid's Home,"St. Brigid's Nursing Home, Crooksling, Brittas, Co. Dublin, Co. Dublin",Dublin,302775.8735,223579.1427
St. Brigid's Hospital,"St. Brigid's Hospital, Shaen, Portlaoise, Co. Laois, Laois",Laois,250230.2936,203293.6706
St. Camillus Community Hospital,"St. Camillus Community Hospital, Shelbourne Road, Limerick, Limerick",Limerick,156692.6495,157955.7643
St. Carthage's House,"St. Carthage's House, Lismore, Co. Waterford, Waterford",Waterford,204692.713,97684.10916
St. Catherine's Nursing Home,"St. Catherine's Nursing Home, Bothar BuÃ­, Newcastlewest, Co. Limerick, Limerick",Limerick,128068.7511,133395.2019
St. Catherine's Nursing Home,"St. Catherine's Nursing Home, Freshford, Co. Kilkenny, Kilkenny",Kilkenny,240612.5378,164757.6204
St. Clair's Nursing Home,"St. Clair's Nursing Home, Ballinderry, Mullingar, Co. Westmeath, Westmeath",Westmeath,243669.2987,251936.4581
St. Clare's Home,"St. Clare's Home, Griffith Avenue, Glasnevin, Dublin 11, Dublin 11",Dublin,315006.3535,237975.6914
St. Colman's Residential Care Centre,"St. Colman's Residential Care Centre, Rathdrum, Co. Wicklow, Wicklow",Wicklow,318959.6181,188314.2065
St. Colmcille's Nursing Home,"St. Colmcille's Nursing Home, Oldcastle Road, Kells, Co. Meath, Meath",Meath,273073.2392,276044.4335
St. Columba's Hospital,"St. Columba's Hospital, Thomastown, Co. Kilkenny, Kilkenny",Kilkenny,258967.0802,142449.9455
St. Columba's Nursing Home,"St. Columba's Nursing Home, Cloughballymore House, Ballinderreen, Co. Galway, Galway",Galway,139723.2855,214119.3682
St. Columban's Nursing Home,"St. Columban's Nursing Home, Magheramore, Wicklow, Co. Wicklow, Wicklow",Wicklow,332208.5303,188978.976
St. Columban's Nursing Home,"St. Columban's Nursing Home, Magheramore, Wicklow, Wicklow",Wicklow,332324.625,188987.109
St. Conlon's Community Nursing Unit,"St. Conlon's Community Nursing Unit, Church Road, Nenagh, Co. Tipperary, Tipperary",Tipperary,189059.4569,135818.6256
St. Davids Retirement Home,"St. David's Retirement Home, Gentian Hill, Salthill, Galway, Galway",Galway,126043.3555,223624.0051
St. Dominic Savio Nursing Home,"St. Dominic Savio Nursing Home, Cahilly, Liscannor, Co. Clare, Clare",Clare,106011.7704,188497.74
St. Doolagh's Park Care and Rehabilitation Centre,"St. Doolagh's Park Care and Rehabilitation Centre, Malahide Road, Balgriffin, Dublin 17, Dublin 17",Dublin,321144.5347,241729.6814
St. Elizabeth's Nursing Home,"St. Elizabeth's Nursing Home, Kells Road, Athboy, Co. Meath, Meath",Meath,272199.2664,264327.8377
St. Eunan's Nursing and Convalescent Home,"Rough Park, Ramelton Road, Letterkenny, Co. Donegal",Donegal,217940.843,411798.2282
St. Fiacc's House,"St. Fiacc's House, Killeshin Road, Graiguecullen, Carlow, Carlow",Carlow,271982.5489,176761.4769
St. Finbarr's Hospital,"St. Finbarr's Hospital, Douglas Road, Cork, Cork",Cork,168304.661,70867.65754
St. Fionnan's Community Nursing Unit,"St. Fionnan's Community Nursing Unit, Achill Sound, Co. Mayo, Mayo",Mayo,73318.32206,299557.9587
St. Francis' Nursing Home,"St. Francis' Nursing Home, Mount Oliver, Dundalk, Co. Louth, Louth",Louth,304395.1742,307776.444
St. Francis' Nursing Home,"St. Francis' Nursing Home, Kilkerrin, Ballinasloe, Co. Galway, Galway",Galway,161704.914,257160.6303
St. Gabriel's Community Hospital,"St. Gabriel's Community Hospital, Schull, Cork, Cork",Cork,92255.16967,31245.41822
St. Gabriel's Nursing Home,"St. Gabriel's Nursing Home, Glenayle Road, Edenmore, Dublin 5, Dublin 5",Dublin,320932.6085,239291.3869
St. Glady's Nursing Home,"St. Glady's Nursing Home, 53 Kimmage Road Lower, Harold's Cross, Dublin 6, Dublin 6",Dublin,314331.3174,231590.8995
St. Gobnait's Nursing Home,"St. Gobnait's Nursing Home, Ballyagran, Kilmallock, Co. Limerick, Limerick",Limerick,149446.5264,128358.8952
St. Ita's Hospital,"St. Ita's Hospital, Gortboy, Newcastlewest, Co. Limerick, Limerick",Limerick,128370.0061,134293.0703
St. James's Hospital,"St. James' Hospital Residential Unit, Hospital 4, PO Box 580, Dublin 8, Dublin 8",Dublin,313659.8263,233592.1242
St. John's Community Hospital Enniscorthy,"St. John's Community Hospital, Munster Hill, Enniscorthy, Co. Wexford, Wexford",Wexford,296995.6134,139198.9221
St. John's Hospital,"St. John's Hospital, Ballytivnan, Sligo, Sligo",Sligo,169363.436,336880.5938
St. John's House of Rest,"St. John's House, 202 Merrion Road, Dublin 4, Dublin 4",Dublin,319266.8039,231168.3289
St. Joseph's Care Centre,"St. Joseph's Care Centre, Presentation Convent, Tuam, Co. Galway, Galway",Galway,143602.3605,251902.216
St. Joseph's Care Centre,"St. Joseph's Care Centre, Dublin Road, Longford, Longford",Longford,214903.3355,274945.0258
St. Joseph's Centre,"St. Joseph's Centre, Crinken Lane, Shankill, Co. Dublin, Co. Dublin",Dublin,325129.6429,221008.489
St. Joseph's Community Hospital,"St. Joseph's Community Hospital, Millstreet, Co. Cork, Cork",Cork,127204.9721,90326.73739
St. Joseph's Community Hospital Stranorlar,"St. Joseph's Community Hospital, Stranorlar, Co. Donegal, Donegal",Donegal,214846.4063,395251.6825
St. Joseph's Community Nursing Unit,"St. Joseph's Community Nursing Unit, Trim, Co. Meath, Meath",Meath,280228.0277,257071.9191
St. Joseph's Home,"St. Joseph's Home, Killorglin, Co. Kerry, Kerry",Kerry,77792.64268,96429.72078
St. Joseph's Hospital,"St. Joseph's Hospital, Bon Secours Care Village, Mount Desert, Lee Road, Cork",Cork,163346.6886,72022.63408
St. Joseph's Hospital,"St. Joseph's Hospital, Lifford Road, Ennis, Co. Clare, Clare",Clare,134088.1891,178227.2512
St. Joseph's Hospital Ardee,"St. Joseph's Hospital Ardee, Ardee, Co. Louth, Louth",Louth,296137.7355,290484.3758
St. Joseph's Nursing Home,"St. Joseph's Nursing Home, Derrymore East, Tralee, Co. Kerry, Kerry",Kerry,75108.60423,111262.1839
St. Joseph's Nursing Home,"St. Joseph's Nursing Home, Mountsackville, Chapelizod, Dublin 20, Dublin 20",Dublin,310358.063,234418.46
St. Joseph's Nursing Home,"St. Joseph's Nursing Home, Clones Road, Ballybay, Co. Monaghan, Monaghan",Monaghan,267070.5924,333647.2629
St. Joseph's Nursing Home,"St. Joseph's Nursing Home, Lurgan Glebe, Virginia, Co. Cavan, Cavan",Cavan,241834.1851,304557.4537
St. Joseph's Nursing Home,"St. Joseph's Nursing Home, Killowen, Kenmare, Co. Kerry, Kerry",Kerry,92115.39325,71361.02096
St. Joseph's Nursing Home - Little Sisters of the Poor,"St. Joseph's Nursing Home - Little Sisters of the Poor, Abbey Road, Ferrybank, Waterford, Waterford",Waterford,260225.1537,111925.7172
"St. Joseph's Supported Care Home,","Kilmoganny, Co. Kilkenny",Kilkenny,245812.5739,134609.6409
St. Joseph's Unit,"St. Joseph's Unit, Bantry General Hospital, Bantry, Co. Cork, Cork",Cork,99675.29799,48504.15557
St. Jude's Nursing Home,"St. Jude's Residential Care, Borrisoleigh, Thurles, Co. Tipperary, Tipperary",Tipperary,198198.1283,167021.9862
St. Kieran's Nursing Home,"St. Kieran's Nursing Home, Rathcabin, Roscrea, Co. Tipperary, Tipperary",Tipperary,189059.4569,135818.6256
St. Lazerian's House,"St. Lazerian's House, Royal Oak Road, Bagnelstown, Co. Carlow, Carlow",Carlow,271982.5489,176761.4769
St. Louis Nursing Home,"St. Louis Nursing Home, Clonmore, Tralee, Co. Kerry, Kerry",Kerry,83942.18783,114091.0221
St. Luke's Home,"St. Luke's Home, Castle Road, Mahon, Cork, Cork",Cork,172571.3673,71778.77249
St. Martha's Nursing Home,"St. Martha's Nursing Home, Glenswilly House, Cappauniac, Cahir, Co. Tipperary Tipperary",Tipperary,200333.3958,128871.0184
St. Martha's Nursing Home,"St. Martha's Nursing Home, Love Lane, Charleville, Co. Cork, Cork",Cork,153168.6602,122958.6012
St. Mary's Centre Nursing Home,"St. Mary's Centre Nursing Home, St. Mary's Ctr Telford Ltd, 185/ 201 Merrion Road, Dublin 4, Dublin 4",Dublin,319449.1382,230800.3977
St. Mary's Home,"St. Mary's Home, Pembroke Park, Ballsbridge, Dublin 4, Dublin 4",Dublin,317268.1887,232218.9103
St. Mary's Hospital,"Drogheda Services for the Elderly St. Mary's Hospital, Dublin Road, Drogheda, Co. Louth, Louth",Louth,310201.1292,274542.071
St. Mary's Hospital,"St. Mary's Hospital, Sherlock Road, Castleblayney, Co. Monaghan, Monaghan",Monaghan,282051.7919,319647.5642
St. Mary's Residential Care Centre,"St Mary's Nursing Home, Shantalla Road, Galway, Galway",Galway,128900.0005,225227.2107
St. Michael's Nursing Home,"St. Michael's Nursing Home, 100 Acres East, Caherconlish, Limerick, Limerick",Limerick,168102.6195,149338.9697
St. Monica's Nursing Home,"St. Monica's Nursing Home, 28 - 38 Belvedere Place, Dublin 1, Dublin 1",Dublin,315986.5295,235624.7857
St. Oliver Plunkett,"St. Oliver Plunkett Hospital, Dublin Road, Dundalk, Co. Louth, Louth",Louth,305249.6811,304967.2965
St. Pappin's Nursing Home,"Ballymun Road, Ballymun, Dublin 9, Dublin 9",Dublin,315414.2027,238654.9962
St. Patrick's Community Hospital,"St. Patrick's Community Hospital, Summerhill, Carrick on Shannon, Co. Leitrim, Leitrim",Leitrim,194088.2469,299803.7645
St. Patrick's Hospital,"St. Patrick's Hospital, John's Hill, Waterford, Waterford",Waterford,261041.8481,111479.2736
St. Patrick's Hospital Cashel,"St. Patrick's Hospital, Cashel, Co. Tipperary, Tipperary",Tipperary,207399.3599,140142.3014
St. Patrick's Nursing Home,"St. Patrick's Nursing Home - Cowper Care, Dublin Street, Baldoyle, Dublin 13, Dublin 13",Dublin,324551.5533,240111.5976
St. Patricks Hospital Cork,"St. Patrick's Hospital (Cork) Ltd., Curraheen Road, Curraheen, Cork, Cork",Cork,168315.1408,72524.9391
St. Paul's Nursing Home,"St. Paul's Nursing Home, Dooradoyle, Limerick, Limerick",Limerick,156316.9004,154225.442
St. Phelim's Nursing Home,"St. Phelim's Nursing Home, Dromahair, Co. Leitrim, Leitrim",Leitrim,180380.7136,331008.2691
St. Teresa's Nursing Home,"St. Teresa's Nursing Home, Friar Street, Cashel, Co. Tipperary, Tipperary",Tipperary,207816.9025,140533.4983
St. Theresa's Nursing Home,"St. Theresa's Nursing Home, Dublin Road, Thurles, Co. Tipperary, Tipperary",Tipperary,213665.2848,158729.9797
St. Theresa's Nursing Home,"St. Theresa's Nursing Home, Leadmore East, Kilkee Road, Kilrush, Co. Clare Clare",Clare,98798.20098,155972.9727
St. Ursula's Nursing Home,"St. Ursula's Nursing Home, Golf Links Road, Bettystown, Co. Meath, Meath",Meath,315870.6975,273629.2661
St. Vincent's Care Centre,"St. Vincent's Care Centre, Coosan Road, Athlone, Co. Westmeath, Westmeath",Westmeath,203870.8434,241835.8164
St. Vincent's Community Nursing Unit,"St. Vincent's Community Nursing Unit, Mountmellick, Co. Laois, Laois",Laois,244848.9182,207943.6525
